Name,Code
Acholi,
Afrikaans,
Akan,
Albanian,
Amharic,
Arabic,
Ashante,
Asl,
Assyrian,
Azerbaijani,
Azeri,
Bajuni,
Basque,
Behdini,
Belorussian,
Bengali,
Berber,
Bosnian,
Bravanese,
Bulgarian,
Burmese,
Cakchiquel,
Cambodian,
Cantonese,zh-HK
Catalan,
Chaldean,
Chamorro,
Chao-chow,
Chavacano,
Chin,
Chuukese,
Cree,
Croatian,
Czech,
Dakota,
Danish,da-DK
Dari,
Dinka,
Diula,
Dutch,nl-NL
Edo,
English,en-US
Estonian,
Ewe,
Fante,
Farsi,
Fijian Hindi,
Finnish,fi-FI
Flemish,
French,fr-FR
French Canadian,fr-CA
Fukienese,
Fula,
Fulani,
Fuzhou,
Ga,
Gaddang,
Gaelic,
Gaelic-irish,
Gaelic-scottish,
Georgian,
German,de-DE
Gorani,
Greek,
Gujarati,
Haitian Creole,
Hakka,
Hakka-chinese,
Hausa,
Hebrew,
Hindi,
Hmong,
Hungarian,
Ibanag,
Ibo,
Icelandic,
Igbo,
Ilocano,
Indonesian,
Inuktitut,
Italian,it-IT
Jakartanese,
Japanese,jp-JP
Javanese,
Kanjobal,
Karen,
Karenni,
Kashmiri,
Kazakh,
Kikuyu,
Kinyarwanda,
Kirundi,
Korean,ko-KR
Kosovan,
Kotokoli,
Krio,
Kurdish,
Kurmanji,
Kyrgyz,
Lakota,
Laotian,
Latvian,
Lingala,
Lithuanian,
Luganda,
Luo,
Maay,
Macedonian,
Malay,
Malayalam,
Maltese,
Mandarin,zh-CN
Mandingo,
Mandinka,
Marathi,
Marshallese,
Mien,
Mina,
Mirpuri,
Mixteco,
Moldavan,
Mongolian,
Montenegrin,
Navajo,
Neapolitan,
Nepali,
Nigerian Pidgin,
Norwegian,nb-NO
Oromo,
Pahari,
Papago,
Papiamento,
Pashto,
Patois,
Pidgin English,
Polish,pl-PL
Portug.creole,
Portuguese,
Pothwari,
Pulaar,
Punjabi,
Putian,
Quichua,
Romanian,
Russian,ru-RU
Samoan,
Serbian,
Shanghainese,
Shona,
Sichuan,
Sicilian,
Sinhalese,
Slovak,
Somali,
Sorani,
Spanish,es-ES
Sudanese Arabic,
Sundanese,
Susu,
Swahili,
Swedish,sv-SE
Sylhetti,
Tagalog,
Taiwanese,zh-TW
Tajik,
Tamil,
Telugu,
Thai,
Tibetan,
Tigre,
Tigrinya,
Toishanese,
Tongan,
Toucouleur,
Trique,
Tshiluba,
Turkish,
Twi,
Ukrainian,
Urdu,
Uyghur,
Uzbek,
Vietnamese,
Visayan,
Welsh,
Wolof,
Yiddish,
Yoruba,
Yupik,